k_code,r_over_minus8nt
6.8492792675e+00,1.0000000000e+00
7.0054593421e+00,1.0000000000e+00
7.1652006988e+00,1.0000000000e+00
7.3285845435e+00,1.0000000000e+00
7.4956939335e+00,1.0000000000e+00
7.6666138204e+00,1.0000000000e+00
7.8414310926e+00,1.0000000000e+00
8.0202346200e+00,1.0000000000e+00
8.2031152987e+00,1.0000000000e+00
8.3901660977e+00,1.0000000000e+00
8.5814821056e+00,1.0000000000e+00
8.7771605797e+00,1.0000000000e+00
8.9773009945e+00,1.0000000000e+00
9.1820050932e+00,1.0000000000e+00
9.3913769387e+00,1.0000000000e+00
9.6055229668e+00,1.0000000000e+00
9.8245520405e+00,1.0000000000e+00
1.0048575505e+01,1.0000000000e+00
1.0277707244e+01,1.0000000000e+00
1.0512063740e+01,1.0000000000e+00
1.0751764128e+01,1.0000000000e+00
1.0996930262e+01,1.0000000000e+00
1.1247686776e+01,1.0000000000e+00
1.1504161142e+01,1.0000000000e+00
1.1766483742e+01,1.0000000000e+00
1.2034787930e+01,1.0000000000e+00
1.2309210099e+01,1.0000000000e+00
1.2589889755e+01,9.9999999999e-01
1.2876969585e+01,9.9999999999e-01
1.3170595526e+01,9.9999999999e-01
1.3470916846e+01,9.9999999998e-01
1.3778086216e+01,9.9999999997e-01
1.4092259788e+01,9.9999999996e-01
1.4413597274e+01,9.9999999994e-01
1.4742262030e+01,9.9999999992e-01
1.5078421134e+01,9.9999999988e-01
1.5422245476e+01,9.9999999983e-01
1.5773909842e+01,9.9999999975e-01
1.6133593003e+01,9.9999999964e-01
1.6501477806e+01,9.9999999947e-01
1.6877751270e+01,9.9999999924e-01
1.7262604676e+01,9.9999999891e-01
1.7656233667e+01,9.9999999844e-01
1.8058838347e+01,9.9999999778e-01
1.8470623385e+01,9.9999999684e-01
1.8891798113e+01,9.9999999552e-01
1.9322576641e+01,9.9999999366e-01
1.9763177957e+01,9.9999999107e-01
2.0213826046e+01,9.9999998746e-01
2.0674749996e+01,9.9999998245e-01
2.1146184124e+01,9.9999997551e-01
2.1628368086e+01,9.9999996594e-01
2.2121547004e+01,9.9999995278e-01
2.2625971591e+01,9.9999993473e-01
2.3141898273e+01,9.9999991008e-01
2.3669589328e+01,9.9999987650e-01
2.4209313010e+01,9.9999983093e-01
2.4761343693e+01,9.9999976927e-01
2.5325962006e+01,9.9999968612e-01
2.5903454977e+01,9.9999957437e-01
2.6494116180e+01,9.9999942466e-01
2.7098245882e+01,9.9999922476e-01
2.7716151197e+01,9.9999895871e-01
2.8348146242e+01,9.9999860581e-01
2.8994552298e+01,9.9999813922e-01
2.9655697969e+01,9.9999752435e-01
3.0331919355e+01,9.9999671677e-01
3.1023560219e+01,9.9999565955e-01
3.1730972161e+01,9.9999428010e-01
3.2454514800e+01,9.9999248616e-01
3.3194555956e+01,9.9999016091e-01
3.3951471833e+01,9.9998715695e-01
3.4725647216e+01,9.9998328904e-01
3.5517475664e+01,9.9997832525e-01
3.6327359709e+01,9.9997197624e-01
