k_code,ring_damp
9.7964903101e+01,9.9999854329e-01
1.0019873899e+02,9.9999854320e-01
1.0248351173e+02,9.9999854311e-01
1.0482038279e+02,9.9999854302e-01
1.0721054014e+02,9.9999854293e-01
1.0965519884e+02,9.9999854285e-01
1.1215560166e+02,9.9999854277e-01
1.1471301968e+02,9.9999854268e-01
1.1732875299e+02,9.9999854261e-01
1.2000413133e+02,9.9999854253e-01
1.2274051475e+02,9.9999854245e-01
1.2553929430e+02,9.9999854238e-01
1.2840189277e+02,9.9999854231e-01
1.3132976538e+02,9.9999854224e-01
1.3432440054e+02,9.9999854217e-01
1.3738732061e+02,9.9999854210e-01
1.4052008263e+02,9.9999854203e-01
1.4372427918e+02,9.9999854197e-01
1.4700153913e+02,9.9999854191e-01
1.5035352851e+02,9.9999854184e-01
1.5378195132e+02,9.9999854178e-01
1.5728855044e+02,9.9999854173e-01
1.6087510847e+02,9.9999854167e-01
1.6454344866e+02,9.9999854161e-01
1.6829543586e+02,9.9999854156e-01
1.7213297740e+02,9.9999854150e-01
1.7605802414e+02,9.9999854145e-01
1.8007257140e+02,9.9999854140e-01
1.8417866002e+02,9.9999854135e-01
1.8837837735e+02,9.9999854130e-01
1.9267385836e+02,9.9999854125e-01
1.9706728669e+02,9.9999854120e-01
2.0156089577e+02,9.9999854116e-01
2.0615696997e+02,9.9999854111e-01
2.1085784574e+02,9.9999854107e-01
2.1566591281e+02,9.9999854103e-01
2.2058361539e+02,9.9999854098e-01
2.2561345345e+02,9.9999854094e-01
2.3075798393e+02,9.9999854090e-01
2.3601982211e+02,9.9999854086e-01
2.4140164288e+02,9.9999854083e-01
2.4690618214e+02,9.9999854079e-01
2.5253623815e+02,9.9999854075e-01
2.5829467301e+02,9.9999854072e-01
2.6418441407e+02,9.9999854068e-01
2.7020845541e+02,9.9999854065e-01
2.7636985942e+02,9.9999854061e-01
2.8267175829e+02,9.9999854058e-01
2.8911735564e+02,9.9999854055e-01
