k_code,N_star
2.2561345345e+02,5.6087160454e+00
2.3075798393e+02,5.6312623711e+00
2.3601982211e+02,5.6538086967e+00
2.4140164288e+02,5.6763550224e+00
2.4690618214e+02,5.6989013481e+00
2.5253623815e+02,5.7214476738e+00
2.5829467301e+02,5.7439939995e+00
2.6418441407e+02,5.7665403252e+00
2.7020845541e+02,5.7890866432e+00
2.7636985942e+02,5.8116329689e+00
2.8267175829e+02,5.8341792946e+00
2.8911735564e+02,5.8567256203e+00
