k_code,r
1.0248351173e+02,8.5446435192e-06
1.0482038279e+02,8.0504678881e-06
1.0721054014e+02,7.5848187024e-06
1.0965519884e+02,7.1464361885e-06
1.1215560166e+02,6.7339868617e-06
1.1471301968e+02,6.3461427040e-06
1.1732875299e+02,5.9819081248e-06
1.2000413133e+02,5.6400713720e-06
1.2274051475e+02,5.3195607176e-06
1.2553929430e+02,5.0195211203e-06
1.2840189277e+02,4.7388316476e-06
1.3132976538e+02,4.4765999032e-06
1.3432440054e+02,4.2319685769e-06
1.3738732061e+02,4.0039667430e-06
1.4052008263e+02,3.7917917932e-06
1.4372427918e+02,3.5945983644e-06
1.4700153913e+02,3.4115317390e-06
1.5035352851e+02,3.2418683861e-06
1.5378195132e+02,3.0848017191e-06
1.5728855044e+02,2.9395873014e-06
1.6087510847e+02,2.8055812637e-06
1.6454344866e+02,2.6820493395e-06
1.6829543586e+02,2.5683667568e-06
1.7213297740e+02,2.4639468803e-06
1.7605802414e+02,2.3681776391e-06
1.8007257140e+02,2.2805402207e-06
1.8417866002e+02,2.2005212364e-06
1.8837837735e+02,2.1276264214e-06
1.9267385836e+02,2.0614363769e-06
1.9706728669e+02,2.0015190016e-06
2.0156089577e+02,1.9474840100e-06
2.0615696997e+02,1.8990023227e-06
2.1085784574e+02,1.8557181663e-06
2.1566591281e+02,1.8173362003e-06
2.2058361539e+02,1.7835870726e-06
2.2561345345e+02,1.7541975365e-06
2.3075798393e+02,1.7289415421e-06
2.3601982211e+02,1.7075993653e-06
2.4140164288e+02,1.6899609730e-06
2.4690618214e+02,1.6758516910e-06
2.5253623815e+02,1.6650888453e-06
2.5829467301e+02,1.6575056870e-06
2.6418441407e+02,1.6529611817e-06
2.7020845541e+02,1.6512945048e-06
2.7636985942e+02,1.6523671099e-06
2.8267175829e+02,1.6560452710e-06
2.8911735564e+02,1.6621828389e-06
